"artist","song","lyrics"
"Sia","Chandelier","Party girls don't get hurt Can't feel anythin', when will I learn? I push it down, I push it down I'm the one for a good time call Phone's blowin' up, ringin' my doorbell I feel the love, I feel the love  One, two, three, one, two, three, drink One, two, three, one, two, three, drink One, two, three, one, two, three, drink Throw 'em back 'til I lose count I'm gonna swing from the chandelier From the chandelier I'm gonna live like tomorrow doesn't exist Like it doesn't exist I'm gonna fly like a bird through the night Feel my tears as they dry I'm gonna swing from the chandelier From the chandelier  But I'm holdin' on for dear life Won't look down, won't open my eyes Keep my glass full until mornin' light 'Cause I'm just holdin' on for tonight Help me, I'm holdin' on for dear life Won't look down, won't open my eyes Keep my glass full until mornin' light 'Cause I'm just holdin' on for tonight, on for tonight  Sun is up, I'm a mess Gotta get out now, gotta run from this Here comes the shame, here comes the shame (Ahh)  One, two, three, one, two, three, drink One, two, three, one, two, three, drink One, two, three, one, two, three, drink Throw 'em back 'til I lose count  I'm gonna swing from the chandelier From the chandelier I'm gonna live like tomorrow doesn't exist Like it doesn't exist I'm gonna fly like a bird through the night Feel my tears as they dry I'm gonna swing from the chandelier From the chandelier  But I'm holdin' on for dear life Won't look down, won't open my eyes Keep my glass full until mornin' light 'Cause I'm just holdin' on for tonight Help me, I'm holdin' on for dear life Won't look down, won't open my eyes Keep my glass full until mornin' light 'Cause I'm just holdin' on for tonight, on for tonight On for tonight 'Cause I'm just holdin' on for tonight Oh, I'm just holdin' on for tonight On for tonight, on for tonight 'Cause I'm just holdin' on for tonight 'Cause I'm just holdin' on for tonight Oh, I'm just holdin' on for tonight On for tonight, on for tonight449"
"Taylor Swift","Shake It Off","I stay out too late Got nothin' in my brain That's what people say, mm-mm That's what people say, mm-mm I go on too many dates (Haha) But I can't make them stay At least, that's what people say, mm-mm That's what people say, mm-mm  But I keep cruisin' Can't stop, won't stop movin' It's like I got this music in my mind Sayin', ""It's gonna be alright""  'Cause the players gonna play, play, play, play, play And the haters gonna hate, hate, hate, hate, hate Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off Heartbreakers gonna break, break, break, break, break And the fakers gonna fake, fake, fake, fake, fake Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off I never miss a beat I'm lightnin' on my feet And that's what they don't see, mm-mm That's what they don't see, mm-mm I'm dancin' on my own (Dancin' on my own) I make the moves up as I go (Moves up as I go) And that's what they don't know, mm-mm That's what they don't know, mm-mm  But I keep cruisin' Can't stop, won't stop groovin' It's like I got this music in my mind Sayin', ""It's gonna be alright""  'Cause the players gonna play, play, play, play, play And the haters gonna hate, hate, hate, hate, hate Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off Heartbreakers gonna break, break, break, break, break And the fakers gonna fake, fake, fake, fake, fake Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off I shake it off, I shake it off I, I, I shake it off, I shake it off I, I, I shake it off, I shake it off I, I, I shake it off, I shake it off  Hey, hey, hey Just think, while you've been gettin' down and out about the liars And the dirty, dirty cheats of the world You could've been gettin' down To this sick beat My ex-man brought his new girlfriend She's like, ""Oh my God,"" but I'm just gonna shake And to the fella over there with the hella good hair Won't you come on over, baby? We can shake, shake, shake Yeah, oh-oh, oh  'Cause the players gonna play, play, play, play, play And the haters gonna hate, hate, hate, hate, hate (Haters gonna hate) Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off (Ha) Heartbreakers gonna break, break, break, break, break (Mmm) And the fakers gonna fake, fake, fake, fake, fake (They fake and fake and fake) Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off (I, I) I shake it off, I shake it off I, I, I shake it off, I shake it off I, I, I shake it off, I shake it off I, I, I shake it off (Yeah), I shake it off I shake it off, I shake it off I, I, I shake it off, I shake it off (You got to) I, I, I shake it off, I shake it off I, I, I shake it off, I shake it off234"
"Meghan Trainor","All About That Bass","Because you know I'm all about that bass 'Bout that bass, no treble I'm all about that bass, 'bout that bass, no treble I'm all about that bass, 'bout that bass, no treble I'm all about that bass, 'bout that bass (Bass, bass, bass, bass)  Yeah, it's pretty clear, I ain't no size two But I can shake it, shake it, like I'm supposed to do 'Cause I got that boom boom that all the boys chase And all the right junk in all the right places I see the magazines (Ah-ha) working that Photoshop (Ah-ha) We know that shit ain't real, come on now, make it stop If you got beauty, beauty (Ah-ha), just raise 'em up 'Cause every inch of you is perfect from the bottom to the top  Yeah, my momma, she told me, ""Don't worry about your size"" (Shoo-wop, wop, shoo-wop, wop) She says, ""Boys like a little more booty to hold at night"" (That booty, booty, uh, that booty, booty) You know I won't be no stick-figure, silicone Barbie doll (Shoo-wop, wop, shoo-wop, wop) So, if that's what's you're into, then go ahead and move along  Because you know I'm all about that bass 'Bout that bass, no treble I'm all about that bass, 'bout that bass, no treble I'm all about that bass, 'bout that bass, no treble I'm all about that bass, 'bout that bass, hey  I'm bringing booty back Go ahead and tell them skinny bitches that No, I'm just playing, I know you think you're fat But I'm here to tell you Every inch of you is perfect from the bottom to the top  Yeah, my momma, she told me (Woo!), ""Don't worry about your size"" (Shoo-wop, wop, hey, shoo-wop, wop) She says, ""Boys like a little more booty to hold at night"" (That booty, booty, uh, that booty, booty) You know I won't be no stick-figure, silicone Barbie doll (Shoo-wop, wop, shoo-wop, wop, oh, no) So, if that's what's you're into, then go ahead and move along (Ooh)  Because you know I'm all about that bass 'Bout that bass, no treble (No treble) I'm all about that bass, (Ooh) 'bout that bass, no treble (Yeah, yeah, yeah) I'm all about that bass, 'bout that bass, no treble (Hey, yeah) I'm all about that bass, 'bout that bass (You know) Because you know I'm all about that bass 'Bout that bass, no treble (I said) I'm all about that bass, 'bout that bass, no treble (Uh) I'm all about that bass, 'bout that bass, no treble (I said) I'm all about that bass, 'bout that bass (Ooh) Because you know I'm all about that bass 'Bout that bass, no treble (I said) I'm all about that bass, 'bout that bass, no treble (Ah) I'm all about that bass, 'bout that bass, no treble (I'm all 'bout that bass) I'm all about that bass, 'bout that bass  'Bout that bass, 'bout that bass Hey, hey Hey-hey, ooh You know you love this bass Ah-ah-ah-ah-ah-ah, yeah Ha-ha 359"
"Hozier","Take Me to Church","My lover's got humour She's the giggle at a funeral Knows everybody's disapproval I should've worshipped her sooner If the heavens ever did speak She's the last true mouthpiece Every Sunday's gettin' more bleak A fresh poison each week We were born sick, you heard them say it My church offers no absolutes She tells me, ""Worship in the bedroom"" The only heaven I'll be sent to Is when I'm alone with you I was born sick, but I love it Command me to be well  A, amen Amen, amen  Take me to church I'll worship like a dog at the shrine of your lies I'll tell you my sins and you can sharpen your knife Offer me that deathless death Oh, good God, let me give you my life Take me to church I'll worship like a dog at the shrine of your lies I'll tell you my sins and you can sharpen your knife Offer me that deathless death Oh, good God, let me give you my life  If I'm a pagan of the good times My lover's the sunlight To keep the goddess on my side She demands a sacrifice Drain the whole sea, get somethin' shiny Somethin' meaty for the main course That's a fine lookin' high horse What you got in the stable? We've a lot of starvin' faithful That looks tasty, that looks plenty This is hungry work  Take me to church I'll worship like a dog at the shrine of your lies I'll tell you my sins, so you can sharpen your knife Offer me my deathless death Oh, good God, let me give you my life Take me to church I'll worship like a dog at the shrine of your lies I'll tell you my sins, so you can sharpen your knife Offer me my deathless death Oh, good God, let me give you my life  No masters or kings when the ritual begins There is no sweeter innocence than our gentle sin In the madness and soil of that sad earthly scene Only then, I am human, only then, I am clean Oh, oh, amen Amen, amen  Take me to church I'll worship like a dog at the shrine of your lies I'll tell you my sins and you can sharpen your knife Offer me that deathless death Oh, good God, let me give you my life Take me to church I'll worship like a dog at the shrine of your lies I'll tell you my sins and you can sharpen your knife Offer me that deathless death Oh, good God, let me give you my life  1.6K"
"Mark Ronson feat. Bruno Mars","Uptown Funk","Doh Doh-doh-doh, doh-doh-doh, doh-doh Doh-doh-doh, doh-doh-doh, doh-doh Doh-doh-doh, doh-doh-doh, doh-doh Doh-doh-doh, doh-doh (Aw, ow)  This hit, that ice cold Michelle Pfeiffer, that white gold This one for them hood girls Them good girls, straight masterpieces Stylin', wilin', livin' it up in the city Got Chucks on with Saint Laurent Gotta kiss myself, I'm so pretty I'm too hot (Hot damn) (Doh) Uh, call the police and the fireman (Doh-doh-doh, doh-doh-doh, doh-doh) I'm too hot (Hot damn) (Doh-doh-doh, doh-doh-doh, doh-doh) Make a dragon wanna retire, man I'm too hot (Hot damn) (Doh-doh-doh, doh-doh-doh, doh-doh) Say my name, you know who I am I'm too hot (Hot damn) (Doh-doh-doh, doh-doh, doh, doh) And my band 'bout that money, break it down  Girls hit your hallelujah (Woo) Girls hit your hallelujah (Woo) Girls hit your hallelujah (Woo) 'Cause uptown funk gon' give it to you (Woo) ('Cause uptown funk gon' give it to you) 'Cause uptown funk gon' give it to you Saturday night and we in the spot Don't believe me, just watch, come on  Doh Doh-doh-doh, doh-doh-doh, doh-doh (Ya) (Doh-doh-doh, doh-doh-doh, doh-doh) Don't believe me, just watch, uh Doh-doh-doh, doh-doh-doh, doh-doh (Ya) (Doh-doh-doh, doh-doh–) Don't believe me, just watch, uh Don't believe me, just watch, uh Don't believe me, just watch Don't believe me, just watch Hey, hey, hey, oh  Stop, wait a minute Fill my cup, put some liquor in it Take a sip, sign the check Julio, get the stretch Ride to Harlem, Hollywood, Jackson, Mississippi If we show up, we gon' show out Smoother than a fresh jar o' Skippy I'm too hot (Hot damn) (Doh) Call the police and the fireman (Doh-doh-doh, doh-doh-doh, doh-doh) I'm too hot (Hot damn) (Doh-doh-doh, doh-doh-doh, doh-doh) Make a dragon wanna retire, man I'm too hot (Too hot, hot damn, hot damn) (Doh-doh-doh, doh-doh-doh, doh-doh) Bitch, say my name, you know who I am I'm too hot (Hot damn) (Doh-doh-doh, doh-doh, doh, doh) Uh, and my band 'bout that money, break it down  Girls hit your hallelujah (Woo) Girls hit your hallelujah (Woo) Girls hit your hallelujah (Woo) 'Cause uptown funk gon' give it to you (Woo) ('Cause uptown funk gon' give it to you) 'Cause uptown funk gon' give it to you Saturday night and we in the spot Don't believe me, just watch, come on  Doh Doh-doh-doh, doh-doh-doh, doh-doh (Ya) (Doh-doh-doh, doh-doh-doh, doh-doh) Don't believe me, just watch, uh Doh-doh-doh, doh-doh-doh, doh-doh (Ya) (Doh-doh-doh, doh-doh–) Don't believe me, just watch, uh Don't believe me, just watch, uh Don't believe me, just watch Don't believe me, just watch Hey, hey, hey, oh (Doh) (Doh-doh-doh, doh-doh-doh, doh-doh) Before we leave (Doh-doh-doh, doh-doh-doh, doh-doh) Lemme tell y'all a lil' something Uptown funk you up, uptown funk you up (Doh-doh-doh, doh-doh-doh, doh-doh) Uptown funk you up, uptown funk you up, uh (Doh-doh-doh, doh-doh-doh, doh-doh) I said, uptown funk you up, uptown funk you up, uh (Doh-doh-doh, doh-doh-doh, doh-doh) Uptown funk you up, uptown funk you up, come on (Doh-doh-doh, doh-doh, doh, doh) Dance, jump on it (Doh-doh-doh, doh-doh-doh, doh-doh) If you sexy, then flaunt it If you freaky, then own it (Doh-doh-doh, doh-doh-doh, doh-doh) Don't brag about it, come show me, come on Dance, jump on it (Doh-doh-doh, doh-doh-doh, doh-doh) If you sexy, then flaunt it Well, it's Saturday night and we in the spot Don't believe me, just watch, come on  Doh Doh-doh-doh, doh-doh-doh, doh-doh (Ya) (Doh-doh-doh, doh-doh-doh, doh-doh) Don't believe me, just watch, uh Doh-doh-doh, doh-doh-doh, doh-doh (Ya) (Doh-doh-doh, doh-doh–) Don't believe me, just watch, uh Don't believe me, just watch, uh Don't believe me, just watch Don't believe me, just watch Hey, hey, hey, oh  Uptown funk you up (Woo, come on) (Doh) Uptown funk you up (Hey, say what?) (Doh-doh-doh, doh-doh-doh, doh-doh) Uptown funk you up (Hey) (Doh-doh-doh, doh) Uptown funk you up (Come on) (Doh) Uptown funk you up (Woo, come on) (Doh-doh-doh, doh-doh-doh, doh-doh) Uptown funk you up (Hey, say what?) Uptown funk you up (Hey) Uptown funk you up (Come on) (Doh) Uptown funk you up (Woo, come on) (Doh-doh-doh, doh-doh-doh, doh-doh) Uptown funk you up (Hey, say what?) Uptown funk you up (Hey) (Doh-doh-doh, doh) Uptown funk you up (Come on) (Doh) Uptown funk you up (Ah) (Doh-doh-doh, doh-doh-doh, doh-doh) Uptown funk you up (Say what?) Uptown funk you up Aw, ow554"
"Daniel Di Angelo","Really Love","""¿Sí, me amas? Yo te quiero mucho Todo el tiempo que pasamos, lo que te quería decir es que… tu estás jodiéndome la vida. *Laughs* Yo no quería pelear contigo, yo solamente te quería amar Pero tu eras muy celoso. Querías ser mi dueño. Pero yo soy libre. ¿Quieres ser mi rey y yo tu reina? No sé si confío en ti. Pero yo te quiero mucho.”  When you call my name When you love me gently When you're walking near me Doo doo wah I'm in really love with you I'm in really love with you  When you look at me I open up instantly I fall in love so quickly Doo doo wah I'm in really love with you Doo doo wah I'm in really love with you I'm in really love with you  All night beside you I'd lay I love you deep when you come to my bed Doo doo wah, I'm in really love with you Ooh wah, I'm in really love with you I'm in really love with you  When you touch me there When you make me tingle When our nectars mingle Doo doo wah, I'm in really love with you, I'm in really love I'm not an easy man, no, to overstand, you feel me But girl you're patient with me Doo doo wah, I'm in really love with you I'm in really love with you  All night I wish for you here Lay your head beside of my hip Doo doo wah, I'm in really love with you I'm in really love with you Love me, baby Doo doo wah, I'm in really love with you I'm in really love with you Doo doo wah, I'm in really love with you I'm in really love with you I'm in really love with you Oh how I love the little things you do I'm in really love with you I'm in really love with you I'm in really love with you I'm in really love with you9"
"Ed Sheeran","Thinking Out Loud","When your legs don't work like they used to before And I can't sweep you off of your feet Will your mouth still remember the taste of my love? Will your eyes still smile from your cheeks? And darlin', I will be lovin' you till we're seventy And baby, my heart could still fall as hard at twenty-three  And I'm thinkin' 'bout how People fall in love in mysterious ways Maybe just the touch of a hand Well, me, I fall in love with you every single day And I just wanna tell you I am  So honey, now, take me into your lovin' arms Kiss me under the light of a thousand stars And place your head on my beatin' heart, I'm thinkin' out loud Maybe we found love right where we are  When my hair's all but gone and my memory fades And the crowds don't remember my name When my hands don't play the strings the same way, mmm I know you will still love me the same 'Cause, honey, your soul who could never grow old, it's evergreen And baby, your smile's forever in my mind and memory  I'm thinkin' 'bout how People fall in love in mysterious ways And maybe it's all part of a plan Oh, I'll just keep on makin' the same mistakes Hoping that you'll understand  That, baby, now, take me into your lovin' arms Kiss me under the light of a thousand stars Place your head on my beatin' heart, I'm thinkin' out loud And maybe we found love right where we are, oh-oh  Lo-lo-lo, lo-lo-lo Lo-lo-lo, lo-lo-lo, love  So baby, now, take me into your lovin' arms And kiss me under the light of a thousand stars, oh, darlin' Place your head on my beatin' heart, I'm thinkin' out loud That maybe we found love right where we are Oh, maybe we found love right where we are And we found love right where we are876"
"Taylor Swift","Blank Space","Nice to meet you, where you been? I could show you incredible things Magic, madness, heaven, sin Saw you there and I thought ""Oh, my God, look at that face You look like my next mistake Love's a game, wanna play?"" Ayy New money, suit and tie I can read you like a magazine Ain't it funny? Rumors fly And I know you heard about me So, hey, let's be friends I'm dying to see how this one ends Grab your passport and my hand I can make the bad guys good for a weekend  So it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless, mm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name  Cherry lips, crystal skies I could show you incredible things Stolen kisses, pretty lies You're the king, baby, I'm your queen Find out what you want Be that girl for a month Wait, the worst is yet to come, oh, no Screaming, crying, perfect storms I can make all the tables turn Rose garden filled with thorns Keep you second guessing, like ""Oh, my God, who is she?"" I get drunk on jealousy But you'll come back each time you leave 'Cause, darling, I'm a nightmare dressed like a daydream  So it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless (Oh) We'll take this way too far It'll leave you breathless (Oh-oh), mm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane (Insane) But I've got a blank space, baby And I'll write your name Boys only want love if it's torture Don't say I didn't, say I didn't warn ya Boys only want love if it's torture Don't say I didn't, say I didn't warn ya  So it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over (Over), mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane (I'm insane) 'Cause you know I love the players And you love the game (And you love the game) 'Cause we're young and we're reckless (Yeah) We'll take this way too far (Ooh) It'll leave you breathless, mm Or with a nasty scar (With a nasty scar) Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name1K"
"The Weeknd","Can't Feel My Face"," And I know she'll be the death of me At least we'll both be numb And she'll always get the best of me The worst is yet to come But at least we'll both be beautiful And stay forever young This I know, uh This I know  She told me, ""Don't worry About it"" She told me, ""Don't worry No more"" We both know we can't go Without it She told me, ""You'll never Be alo-oh-oh-ooh""  I can't feel my face when I'm with you But I love it But I love it, oh I can't feel my face when I'm with you But I love it But I love it, oh  And I know she'll be the death of me At least we'll both be numb And she'll always get the best of me The worst is yet to come All the misery was necessary When we're deep in love This I know, this I know (Girl) Girl, I know, uh  She told me, ""Don't worry About it"" She told me, ""Don't worry No more"" We both know we can't go Without it She told me, ""You'll never Be alo-oh-oh-ooh""  I can't feel my face when I'm with you But I love it But I love it, oh I can't feel my face when I'm with You (I can't feel my face) But I love it (But I love it) But I love it (I can't feel my face) oh I can't feel my face when I'm with you (When I'm with you) But I love it (But I love it, yeah) But I love it (But I love it,) oh (I can't feel my face) I can't feel my face when I'm with (When I'm with you) you But I love it (But I love it) But I love it (Girl, I love it,) oh Oh Oh-oh Ooh-ooh  She told me, ""Don't worry About it"" She told me, ""Don't worry No more"" We both know we can't go (Can't go) Without it She told me, ""You'll never Be alo-oh-oh- Ooh""  I can't feel my face when I'm with you (I can't feel my face, girl) But I love it (But I love it, yeah) But I love it (Oh, I love it, yeah) oh I can't feel my face when I'm with You (Said, I can't feel my face) But I love it (But I love it) But I love it (Girl, I love it,) oh (I can't feel my face) I can't feel my face when I'm with (When I'm with you) you But I love it (Know I love it, girl) But I love it (Don't you think I do?) Oh (I can't feel my face) I can't feel my face when I'm with (When I'm with you) you (I can't feel my face, girl) But I love it (When I'm with you, baby) But I love it (Said, when I'm with you, baby,) oh I can't feel my fa- Uh Hey!826"
"Kendrick Lamar","Alright"," Alls my life, I has to fight, nigga Alls my life, I— Hard times like, ""Yah!"" Bad trips like, ""Yah!"" Nazareth I'm fucked up, homie, you fucked up But if God got us, then we gon' be alright Nigga, we gon' be alright Nigga, we gon' be alright We gon' be alright Do you hear me, do you feel me? We gon' be alright Nigga, we gon' be alright Huh? We gon' be alright Nigga, we gon' be alright Do you hear me, do you feel me? We gon' be alright Uh, and when I wake up I recognize you're looking at me for the pay cut But homicide be looking at you from the face down What MAC-11 even boom with the bass down? Schemin', and let me tell you 'bout my life Painkillers only put me in the twilight Where pretty pussy and Benjamin is the highlight Now tell my momma I love her, but this what I like, Lord knows Twenty of 'em in my Chevy, tell 'em all to come and get me Reaping everything I sow, so my karma coming heavy No preliminary hearings on my record I'm a motherfucking gangster in silence for the record, uh Tell the world I know it's too late Boys and girls, I think I've gone cray Drown inside my vices all day Won't you please believe when I say  Wouldn't you know We been hurt, been down before Nigga, when our pride was low Lookin' at the world like, ""Where do we go?"" Nigga, and we hate po-po Wanna kill us dead in the street fo sho' Nigga, I'm at the preacher's door My knees gettin' weak, and my gun might blow But we gon' be alright Nigga, we gon' be alright Nigga, we gon' be alright We gon' be alright Do you hear me, do you feel me? We gon' be alright Nigga, we gon' be alright Huh? We gon' be alright Nigga, we gon' be alright Do you hear me, do you feel me? We gon' be alright What you want you, a house⁠? You, a car? Forty acres and a mule? A piano, a guitar? Anything, see my name is Lucy, I'm your dog Motherfucker, you can live at the mall I can see the evil, I can tell it, I know it's illegal I don't think about it, I deposit every other zero Thinking of my partner, put the candy, paint it on the Regal Digging in my pocket, ain't a profit big enough to feed you Every day my logic get another dollar just to keep you In the presence of your chico, ah! I don't talk about it, be about it, every day I sequel If I got it then you know you got it, Heaven, I can reach you Pat Dawg, Pat Dawg, Pat Dawg, my dog, that's all Bick back and Chad, I trap the bag for y'all I rap, I black on track so rest assured My rights, my wrongs; I write 'til I'm right with God Wouldn't you know We been hurt, been down before Nigga, when our pride was low Lookin' at the world like, ""Where do we go?"" Nigga, and we hate po-po Wanna kill us dead in the street fo sho' Nigga, I'm at the preacher's door My knees gettin' weak, and my gun might blow But we gon' be alright Nigga, we gon' be alright Nigga, we gon' be alright We gon' be alright Do you hear me, do you feel me? We gon' be alright Nigga, we gon' be alright Huh? We gon' be alright Nigga, we gon' be alright Do you hear me, do you feel me? We gon' be alright  I keep my head up high I cross my heart and hope to die Lovin' me is complicated Too afraid of a lot of changes I'm alright, and you're a favorite Dark nights in my prayers I remembered you was conflicted Misusing your influence, sometimes I did the same Abusing my power, full of resentment Resentment that turned into a deep depression Found myself screamin' in the hotel room I didn't wanna self-destruct The evils of Lucy was all around me So I went runnin' for answers781"
